"id","date","title","category","stage","summary","impact","confidence","lastVerified","sourceIds","currentState","lat","lon","confidenceLevel","verifiedAt","crossVerificationStatus","marketIds","marketAssignmentMethod","marketAssignmentConfidence","marketAssignmentReviewedAt"
"time-india-chip-groundbreak","2026-02-21","India Chip semiconductor facility broke ground","Semiconductor","construction","The HCL-Foxconn OSAT/ATMP project moved from approval into physical execution.","Credible specialised employment pipeline, but commissioning remains complex.","HIGH","2026-08-16","[""src-india-chip"",""src-pib-hcl-groundbreaking""]",,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-ai-loi","2026-02","AM Group AI/HPC hub LoIs announced","AI/data centre","loi","A 289-acre, Rs 2.2-lakh-crore proposal entered the formal-interest funnel.","Potentially transformative, but no lease, possession, finance or construction evidence yet.","HIGH on LoI / MEDIUM claims","2026-08-16","[""src-am-ai-hub-ht"",""src-am-ai-hub-et""]",,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-airport-open","2026-06-15","Noida International Airport opened","Airport","operational","The first scheduled passenger flight converted the airport from construction story to operating infrastructure.","Strongest realised catalyst in the corridor; actual traffic should now replace design capacity in valuation.","HIGH","2026-08-16","[""src-nia-operations""]",,,,"HIGH","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-cargo-open","2026-06-17","First dedicated cargo flight operated","Cargo","operational","The airport cargo hub entered commercial use.","Supports logistics and rental demand, but actual tonnage remains unavailable.","MEDIUM-HIGH","2026-08-16","[""src-first-cargo-flight""]",,,,"MEDIUM","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-solar-allotments","2026-05-22","Large solar and IT allotment letters issued","Industrial investment","allotted","CESC, Integrated Batteries and several IT/ITES firms received allotment letters.","Formal land-pipeline progress; leases, possession and construction remain the conversion test.","HIGH","2026-08-16","[""src-investup-may2026"",""src-fortune-yeida-investments""]",,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-botanical142-funded","2026-02-14","Botanical Garden-Sector 142 metro funded","Metro","funding","Union Cabinet approved the 11.56-km extension; L&T was later selected.","Material network integration for Noida, but indirect for Sector 22D.","HIGH","2026-08-16","[""src-botanical142-pib"",""src-nmrc-lt-selection""]",,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""noida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-namo-dpr","2026-08-12","Ghaziabad-Jewar Namo Bharat remained at DPR","RRTS","dpr","A preliminary 72.5-km corridor was disclosed without sanction, funding or civil work.","Potentially transformative but earns little present-value credit.","HIGH on stage / MEDIUM alignment","2026-08-16","[""src-rrts-india-today"",""src-rrts-etinfra""]",,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""greater-noida"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-ganga-link-approved","2026-08-07","Airport-Ganga Expressway link approved","Road","approval","UP Cabinet cleared a 74.5-km, Rs 8,585.51-crore corridor.","Long-term logistics upside; acquisition and construction remain.","MEDIUM-HIGH","2026-08-16","[""src-ganga-airport-link""]",,,,"MEDIUM","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-film-finance-delay","2026-08-15","Film City financial closure still pending","Film City","land_acquired","Despite concession and land handover, financial closure and substantive construction remained outstanding.","Film City should remain heavily discounted in current housing valuation.","HIGH","2026-08-16","[""src-filmcity-finance-pending"",""src-filmcity-finance-delay""]",,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
"time-yeida-map-live","2026-08-16","Official YEIDA OneMap plot layers ingested","Evidence","operational","The report exported privacy-safe non-residential planning polygons through YEIDA's citizen browser context.","Users can now click official YEIDA industrial, commercial, institutional and mixed-use plots.","HIGH","2026-08-16","[""src-yeida-onemap-current""]",,,,"HIGH","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_EVENT_LOCATION","MEDIUM","2026-08-17"
