"id","name","mode","milestone","stage","housingRelevance","evidenceDate","currentState","confidence","lastVerified","sourceIds","purpose","officialApprovals","funding","failedAttempts","dependencies","realisticWindow","lat","lon","confidenceLevel","verifiedAt","crossVerificationStatus","marketIds","marketAssignmentMethod","marketAssignmentConfidence","marketAssignmentReviewedAt"
"infra-dadri-mmlh","Greenfield Dadri multimodal logistics hub","Logistics","DBFOT procurement / fresh tender after inadequate initial response","tender","LOW-MEDIUM now - award and construction remain","2026","Earliest meaningful Phase 1 approximately 2029-2030 if procurement succeeds","HIGH","2026-08-15","[""src-nicdc-mmlh"",""src-mmlh-rfq""]",,,,,,,,,"HIGH","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""greater-noida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-boraki-hub","Boraki multimodal transport hub","Rail/bus/metro integration","Planning and approval linked to MMLH and metro","planning","LOW now - dependent on several upstream projects","2026-08-15","Not operating as an integrated hub","MEDIUM","2026-08-15","[""src-nicdc-mmlh"",""src-bodaki-metro-approval""]",,,,,,,,,"MEDIUM","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""greater-noida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-aqua-line","Aqua Line Noida-Greater Noida","Metro","Operational","operational","MEDIUM - benefits Greater Noida, no direct 22D/airport station","2026-08-15","Existing NMRC service","HIGH","2026-08-15","[""src-nmrc""]",,,,,,,,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""noida"",""greater-noida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-bodaki-aqua-extension","Aqua Line Depot-Bodaki extension","Metro","Central clearance and pre-construction technical tendering","tender","LOW-MEDIUM - indirect, possible 2028-2029","2025-07","Civil contract and funding execution remain","HIGH","2026-08-15","[""src-bodaki-metro-approval"",""src-nmrc-bodaki-nit""]",,,,,,,,,"HIGH","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""greater-noida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-sector51-kp5","Aqua Line Sector 51-Knowledge Park V","Metro","UP-approved DPR under central appraisal","dpr","LOW - limited direct 22D relevance","2025-05","PM GatiShakti evaluation is not Union Cabinet sanction","HIGH","2026-08-15","[""src-pib-kp5-metro""]",,,,,,,,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""noida"",""greater-noida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-airport-metro","Knowledge Park II-Jewar airport metro","Metro","DPR / authority-level concept","dpr","VERY LOW now - no Union sanction, funding or civil tender","2026-08-15","Overlaps newer RRTS-plus-metro planning; no bankable opening date","MEDIUM","2026-08-15","[""src-rerrts-dpr""]",,,,,,,,,"MEDIUM","2026-08-15","SINGLE_SOURCE","[""gbn"",""greater-noida"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-rrts-jewar","Ghaziabad-Greater Noida-Jewar Namo Bharat","RRTS / regional rail","DPR under refinement and review","dpr","VERY LOW now - no funding or construction","2026-08","Approx. 72-km alignment remains mutable; earliest plausible operation 2032-2034","MEDIUM","2026-08-15","[""src-rerrts-dpr"",""src-rrts-india-today""]",,,,,,,,,"MEDIUM","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""greater-noida"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-delhi-varanasi-hsr","Delhi-Varanasi high-speed rail via Jewar","High-speed rail","Revised DPR / viability review","dpr","NEAR-ZERO now - no sanction or funding","2026-08-15","Mid/late 2030s at earliest if approved","HIGH","2026-08-15","[""src-nhsrcl-delhi-varanasi""]",,,,,,,,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn""]","REGIONAL_ONLY","LOW","2026-08-17"
"infra-chola-palwal-rail","Chola-Jewar-Palwal conventional rail link","Rail","DPR and route planning","dpr","VERY LOW now - land, bridge, sanction and finance remain","2026-08-15","No construction sanction; 2030+ even if approved soon","MEDIUM","2026-08-15","[""src-chola-rail""]",,,,,,,,,"MEDIUM","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-airport-buses","Airport buses, taxis and app cabs","Road public transport","Operational but frequency still ramping","operational","MEDIUM - useful, not metro-equivalent","2026-06","Intercity and Western-UP services plus taxis/app cabs","HIGH","2026-08-15","[""src-nia-buses"",""src-nia-public-transport""]",,,,,,,,,"HIGH","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-sector22d-utilities","Sector 22D municipal utilities","Water, sewer, drainage and power","Sector works and water-network packages in progress","construction","HIGH - determines immediate habitability","Undated authority status page; retrieved 2026-08-15","Regional capacity exists, but permanent society-level feeder, water pressure and sewer outfall require verification","HIGH","2026-08-16","[""src-yeida-infrastructure""]",,,,,,,,,"HIGH","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-airport-actual-traffic","Noida Airport actual passenger and cargo traffic","Airport operating evidence","Official monthly airport-level actuals not yet located after opening","operational","HIGH - future premium should follow actual throughput, not 12-MPPA design capacity","2026-08-16","Passenger and cargo services operate, but public airport-specific monthly totals remain unavailable","HIGH for evidence gap","2026-08-16","[""src-aai-traffic-news"",""src-nia-operations"",""src-first-cargo-flight""]",,,,,,,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-faridabad-jewar-link","Faridabad-Jewar greenfield road link","Road","Major construction continued after missed June 2025 deadline","construction","MEDIUM - improves Faridabad/Gurugram airport access when complete","2026-08","Partial completion reported; full opening not verified","MEDIUM","2026-08-16","[""src-faridabad-jewar-link"",""src-nhai-dnd-kmp""]",,,,,,,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-ganga-airport-link","Airport-Ganga Expressway / New Noida link","Road","UP Cabinet cleared Rs 8,585.51 crore, 74.5-km corridor","approval","LOW now - long-term access/logistics optionality","2026-08-07","Acquisition and tendering remain; no construction","HIGH on approval / LOW-MEDIUM timing","2026-08-16","[""src-ganga-airport-link""]",,,,,,,,,"LOW","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-chilla-road","Chilla elevated road","Road","Reported roughly 50-55% complete after long funding/contract delay","construction","LOW-MEDIUM - improves Delhi approach but is remote from 22D","2026-08","Later completion expectation June-December 2027","MEDIUM-HIGH","2026-08-16","[""src-chilla-progress""]",,,,,,,,,"MEDIUM","2026-08-16","SINGLE_SOURCE","[""gbn"",""noida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-pod-taxi","Film City-airport pod taxi","Automated last-mile transit","Repeated tenders failed to secure qualifying bidders","failed","ZERO present value","2023-2026","No construction; financial/technology model remains unresolved","HIGH","2026-08-16","[""src-pod-taxi-plan"",""src-filmcity-finance-pending""]",,,,,,,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-botanical-sector142","Aqua Line Botanical Garden-Sector 142 extension","Metro","Union Cabinet approved Rs 2,254 crore; L&T selected","funding","MEDIUM regional / LOW direct 22D","2026-08","Mobilisation expected; eight-station 11.56-km corridor","HIGH","2026-08-16","[""src-botanical142-pib"",""src-nmrc-lt-selection""]",,,,,,,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""noida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-gnwest-metro-reset","Sector 51-Greater Noida West metro","Metro","Centre required another fresh DPR after rejecting revised plan","failed","VERY LOW and no direct 22D effect","2026-04","Redesign only; no funding or construction","MEDIUM-HIGH","2026-08-16","[""src-gnwest-metro-reset""]",,,,,,,,,"MEDIUM","2026-08-16","SINGLE_SOURCE","[""gbn"",""noida"",""greater-noida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-22d-water-network","Sector 22D water-supply network","Water","Rs 8.41 crore, 365-day package tendered","tender","HIGH - direct habitability evidence","2026-01","Tender confirmed; award, completion and pressure testing not independently verified","HIGH tender / MEDIUM execution","2026-08-16","[""src-22d-water-tender""]",,,,,,,,,"MEDIUM","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-yeida-service-masterplan","YEIDA water-sewer-drainage service master plan","Utilities and flood resilience","Consultant-led future-ready service plan initiated","planning","HIGH as a readiness warning, not a delivered amenity","2025-12","Water, sewer, STP, drains and flood capacity are being remapped for future works","MEDIUM-HIGH","2026-08-16","[""src-yeida-service-masterplan""]",,,,,,,,,"MEDIUM","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-yeida-maintenance-corpus","YEIDA civic-infrastructure maintenance corpus","Roads, water, drains, sewer, power and parks","Rs 25 crore annual corpus approved","funding","MEDIUM positive, but not proof of repairs","2026-06","Annual deployment starts FY2026-27; modest relative to authority scale","MEDIUM-HIGH","2026-08-16","[""src-yeida-maintenance-corpus""]",,,,,,,,,"MEDIUM","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-22d-power-reliability","Sector 22D distribution-power reliability","Electricity","Only 13 of 21 transformers reportedly functioning for about 300 families","failed","HIGH negative for end-use and rental valuation","2025-12","Low voltage/outages and unresolved YEIDA-NPCL handover responsibility","MEDIUM-HIGH","2026-08-16","[""src-22d-power-crisis""]",,,,,,,,,"MEDIUM","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-22d-school-plots","Sector 22D and nearby school-plot programme","Education","Senior-secondary/institutional plot scheme marketed","tender","HIGH for family occupancy; currently a missing amenity","2025-07","Plot scheme verified; no operating school from this scheme verified in 22D","HIGH scheme / LOW delivery","2026-08-16","[""src-school-brochure""]",,,,,,,,,"LOW","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-yeida-hospital-plots","YEIDA hospital and maternity plot programme","Healthcare","Institutional healthcare plot scheme issued","tender","HIGH for end-user demand; not yet operating capacity","2025-06","No verified operating 22D hospital attributable to the scheme","HIGH scheme / LOW-MEDIUM delivery","2026-08-16","[""src-hospital-brochure""]",,,,,,,,,"LOW","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-airport-height-controls","Airport obstacle and height controls","Planning constraint","Project-specific AAI NOC/height controls became operationally material","approval","HIGH for high-rise project feasibility","2025-07","Permissible height depends on coordinates/elevation and AAI NOCAS, not generic distance bands","HIGH requirement / MEDIUM sector limits","2026-08-16","[""src-airport-height-control"",""src-aai-nocas""]",,,,,,,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-yeida-flood-drainage","YEIDA flood and drainage resilience","Environment","Service plan commissioned to map natural drains and flood capacity","planning","HIGH at plot level; Sector 22D-wide exposure remains unverified","2025-12","Green buffers and drainage planning exist; parcel elevation and monsoon checks remain necessary","HIGH planning constraint / LOW parcel exposure","2026-08-16","[""src-yeida-master-plan"",""src-nrsc-flood-atlas"",""src-yeida-service-masterplan""]",,,,,,,,,"LOW","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
"infra-airport-expansion-land","Airport phases 2-3 acquisition and rehabilitation","Land and legal","Allahabad High Court upheld acquisition while protecting lawful R&R sequencing","land_acquired","LOW current, but reduces airport-expansion cancellation risk","2026-04-28","Compensation and rehabilitation remain multi-year dependencies","HIGH","2026-08-16","[""src-airport-expansion-hc"",""src-airport-compensation-camps""]",,,,,,,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","CURATED_CORRIDOR_IMPACT","MEDIUM","2026-08-17"
