"id","name","legalEntity","parentBrand","facilityName","activity","location","sector","stage","capexClaim","localJobClaim","actualEmploymentEvidence","jobEvidence","jobMix","commissioningTarget","dependencies","currentState","confidence","lastVerified","sourceIds","lat","lon","confidenceLevel","verifiedAt","crossVerificationStatus","marketIds","marketAssignmentMethod","marketAssignmentConfidence","marketAssignmentReviewedAt","technologyPartner","whatTheyDo","scaleEvidence","corridorIntent","claimGroupId","sharedClaimNote","groupCompany","sponsors"
"co-avaada-dadri","Avaada Dadri module plant","Avaada Electro Pvt Ltd","Avaada Group","Dadri 1.5-GW TOPCon module plant","Solar-module manufacturing","Dadri / Greater Noida",,"operational",,"Project-specific jobs not separated from expansion total","Inaugurated March 2025 and producing modules","Operational; do not duplicate expansion jobs","Blue/grey technicians, automation and QA","Operational","Solar demand and qualification lists","Producing","HIGH","2026-08-15","[""src-avaada-dadri""]",,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""greater-noida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-ntt-noida2","NTT Noida 2 data-centre campus","NTT Global Data Centers","NTT","Noida 2","Hyperscale data centre","Noida",,"operational",,,"First 22.4-MW, 300,000-sq-ft building opened January 2024","Operational; jobs undisclosed and likely low relative to capex","White/grey engineering, network, facilities and security","Campus plan 52.8 MW","Power, fibre and customer demand","First building operational","HIGH","2026-08-15","[""src-ntt-noida2""]",,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""noida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-yotta-d1","Yotta D1","Yotta Infrastructure Solutions","Yotta","Yotta D1 Greater Noida","Hyperscale data centre","Greater Noida",,"operational","About Rs 1,500 crore for D1",,"Operational since October 2022; 28.8 MW and 5,000 racks","Operational; local jobs undisclosed","Mainly white/grey","Operational","Power, fibre and customer demand","Operational","HIGH","2026-08-15","[""src-yotta-d1""]",,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""greater-noida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-sify-noida01","Sify Noida 01","Sify Technologies Ltd","Sify","Noida 01 data centre","Data-centre services","Noida",,"operational",,,"Officially marketed operational at 10.96 MW","Operational; local jobs undisclosed","White/grey","Operational","Power, fibre and customer demand","Operational","HIGH","2026-08-15","[""src-sify-noida""]",,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""noida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-fortis-greater-noida","Fortis Greater Noida hospital","International Hospital Ltd","Fortis Healthcare","200-bed Greater Noida hospital","Hospital and clinical services","Greater Noida",,"operational","Existing O&M converted to 15-year lease; not new greenfield capex",,"Operational hospital; facility jobs undisclosed","Operating social infrastructure, not a new greenfield employer","White/grey clinical, nursing and technical; blue support","Operational",,"Operating under Fortis arrangement","HIGH","2026-08-15","[""src-fortis-greater-noida""]",,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""greater-noida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-india-chip","India Chip semiconductor facility","India Chip Pvt Ltd","HCL 60% / Foxconn 40%","Sector 28 OSAT and display-driver facility","Semiconductor assembly, testing and display-driver manufacturing","YEIDA Sector 28","28","construction","Rs 3,700 crore","3,500 direct plus indirect jobs; split not published","Foundation stone laid 2026-02-21","Physical start; operation target 2028","Specialised white/grey engineers and technicians plus blue operations","2028","Equipment installation, utilities and customer qualification","Under construction","HIGH","2026-08-15","[""src-india-chip""]",,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-amber-yeida","Amber Enterprises YEIDA facility","Amber Enterprises India Limited","Amber Group","Sector 8 ultra-mega room-AC and critical-components plant","Room air conditioners, consumer durables, electronics assemblies and components","YEIDA Sector 8","8","construction","Combined Amber/Ascent-K programme: Rs 6,785 crore","Combined programme: more than 3,000 direct jobs; entity split unavailable","Groundbreaking held 2026-06-27; production not evidenced","Physical start; combined figures must not be counted twice","Blue/grey manufacturing with engineering and management","No filed production date verified","Construction, ECMS milestones, utilities and commissioning","Groundbreaking / construction","HIGH","2026-08-16","[""src-amber-disclosures"",""src-amber-groundbreaking"",""src-amber-bse-fy26""]",,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,"Listed integrated manufacturer supplying room ACs, appliances, electronics assemblies and critical components to third-party brands.","NSE/BSE listed; 9M FY26 consolidated revenue reported at Rs 8,039 crore. YEIDA capex/jobs are shared with Ascent-K and cannot be allocated to Amber alone.","Build a 100-acre ultra-mega room-AC/component campus for localisation, import substitution and future exports.","amber-ascent-k-combined","Combined programme claim; count once across Amber and Ascent-K",,
"co-ascent-k-yeida","Ascent-K Circuit YEIDA facility","Ascent-K Circuit Private Limited","Amber / IL JIN group entity","Sector 10 advanced PCB and substrate plant","HDI, multilayer and flexible PCBs plus semiconductor substrates","YEIDA Sector 10 EMC","10","construction","Combined Amber/Ascent-K programme: Rs 6,785 crore","Combined programme: more than 3,000 direct jobs; entity split unavailable","Groundbreaking held 2026-06-27; commercial output not evidenced","Physical start; Ascent Circuits Pvt Ltd is not the land-project entity","Blue/grey electronics manufacturing plus specialist engineering",,"Construction, equipment, utilities and customer qualification","Groundbreaking / construction","HIGH","2026-08-16","[""src-amber-disclosures"",""src-amber-groundbreaking"",""src-ascent-ownership"",""src-amber-bse-fy26""]",,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,"Planned advanced printed-circuit-board and substrate manufacturing vehicle; distinct from Ascent Circuits Private Limited.","Unlisted group entity. YEIDA capex/jobs are shared with Amber and cannot be allocated separately.","Use 16 acres in EMC 2.0 to localise advanced PCB and semiconductor-substrate supply for electronics manufacturing.","amber-ascent-k-combined","Combined programme claim; count once across Amber and Ascent-K",,
"co-avaada-ecotech16","Avaada Ecotech-16 integrated solar plant","Avaada Electro Pvt Ltd","Avaada Group","5-GW TOPCon cell and module plant","Integrated solar-cell and module manufacturing","Greater Noida Ecotech-16","Ecotech-16","construction",,"More than 3,000 jobs announced across expansion; site split unavailable","Foundation laid March 2025","Physical start; do not duplicate Dadri operating-plant jobs","Blue/grey manufacturing plus engineers",,"Power, water, equipment and ALMM qualification","Under construction","HIGH","2026-08-15","[""src-avaada-dadri""]",,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""greater-noida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-sael-solar","SAEL integrated solar facility","SAEL Solar P6 Pvt Ltd","SAEL Industries","Sector 8 integrated solar facility","5-GW solar cells and 5-GW modules","YEIDA Sector 8","8","allotted","Rs 8,200 crore","7,760 projected jobs","Letter of Comfort followed by reported 200-acre allotment; major construction not verified","Land-secured pipeline; jobs excluded from committed operating total","Expected blue/grey manufacturing with engineering",,"Lease/possession, finance, utilities and construction","Allotted; construction evidence insufficient","MEDIUM","2026-08-15","[""src-sael-release"",""src-sael-allotment""]",,,"MEDIUM","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-cesc-green-power","CESC Green Power solar plant","CESC Green Power Ltd","RPSG Group","3-GW solar-cell/module plant","Solar manufacturing","YEIDA",,"allotted","Rs 3,805 crore","About 5,000 projected jobs","Allotment letter issued May 2026","No lease/possession/construction evidence yet","Expected blue/grey manufacturing",,"Lease, possession, financing and construction","Allotment-letter stage","HIGH","2026-08-15","[""src-investup-may2026"",""src-may2026-allotments""]",,,"HIGH","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-ib-solar","Integrated Batteries India solar facility","Integrated Batteries India Pvt Ltd","IB Solar","4-GW solar-cell facility","Solar-cell manufacturing","YEIDA",,"allotted","Rs 1,146 crore","About 500 projected jobs","25-acre allotment letter issued May 2026","Land-allotment pipeline","Expected blue/grey manufacturing","Reported 2027 target","Lease, possession, financing and construction","Allotment-letter stage","MEDIUM","2026-08-15","[""src-may2026-allotments""]",,,"MEDIUM","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-premier-medical","Premier Medical Systems & Devices","Premier Medical Systems And Devices Private Ltd","Formerly Medisys","Medical Device Park manufacturing unit","Radiology, oncology and ICU products","YEIDA Medical Device Park, Sector 28","28","loi","Rs 60 crore","About 450 projected jobs; direct/indirect split unavailable","12,000-sqm LOI issued 2025-09-03; lease, possession and construction not verified","LOI-stage forecast only","Grey/blue manufacturing plus specialised white roles",,"Shared park infrastructure and facility construction","LOI issued; downstream land and construction milestones unverified","HIGH LOI / LOW conversion","2026-08-16","[""src-premier-medical"",""src-corp-premier""]",,,"LOW","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-ti-medical","TI Medical facility","TI Medical Private Limited","Tube Investments / Premji Invest platform","Medical Device Park manufacturing unit","Dialysis, dialysers and anaesthesia products","YEIDA Medical Device Park, Sector 28","28","construction","Rs 215 crore proposed; later sources round to about Rs 211 crore",,"Eleven-acre allotment reported July 2024; construction confirmed by September 2025","No project-specific jobs number","Grey/blue manufacturing plus specialised white roles",,"Shared park infrastructure and facility construction","Under construction; commissioning not publicly verified","HIGH","2026-08-16","[""src-toi-ti-medical"",""src-premier-medical"",""src-corp-ti-medical""]",,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-bodhisatva-medical-college","Bodhisatva medical college","Bodhisatva Charitable Trust",,"Sector 17A medical college","Education and healthcare","YEIDA Sector 17A","17A","allotted","Rs 532.18 crore",,"20.5-acre allotment letter issued January 2026","Allotment stage; jobs not specified","Future white/grey clinical, teaching and support",,"Approvals, lease, hospital/college construction","Allotted","MEDIUM","2026-08-15","[""src-investup-may2026""]",,,"MEDIUM","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-film-city-current","International Film City concession","Bayview Bhutani Film City Pvt Ltd","Bayview Projects / Boney Kapoor / Bhutani consortium","Sector 21 Film City Phase 1","Studios, post-production, institute and commercial uses","YEIDA Sector 21","21","possessed","About Rs 1,500 crore Phase 1","No defensible facility-level direct-job number","Concession signed June 2024; site handed over February 2025; financial closure delayed","Land possessed, but full construction not evidenced","Potential white/grey creative/technical and blue support/hospitality",,"Financial closure and phased construction","Concession active; execution delayed","HIGH","2026-08-15","[""src-filmcity-spv"",""src-filmcity-finance-delay""]",,,"HIGH","2026-08-15","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
"co-patanjali-yeida","Patanjali Food and Herbal Park","Patanjali Food & Herbal Park Noida Pvt Ltd","Patanjali group","Sector 24/24A food and herbal campus","Food, herbal and FMCG manufacturing","YEIDA Sector 24/24A","24 / 24A","possessed","Promoter reports about Rs 1,600 crore","3,000+ claimed; split and current payroll unavailable","Lease deeds reported in 2022; 2025 biscuit/food/dairy operating forecasts lack later primary confirmation","Large land conversion, but current operation requires re-verification","Expected blue/grey manufacturing plus management","Prior 2025 dates are stale until confirmed","Development-extension compliance and proposed Innova sublease","Lease/possession evidence exists; latest functional status unresolved","MEDIUM","2026-08-16","[""src-patanjali-sublease"",""src-patanjali-extension"",""src-patanjali-innova""]",,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,"Patanjali Ayurveda Ltd",
"co-adaniconnex-sector80","AdaniConneX Sector 80 project","AdaniConneX Pvt Ltd","AdaniConneX joint venture","Sector 80 data-centre project","Data-centre infrastructure","Noida Sector 80","80","allotted","No site-specific public capex in cited source","Not disclosed","Noida board approved a 10-acre sublease","Sublease approval, not construction or operating employment","White/grey technical, facilities and security when operational",,"Lease execution, construction, power/fibre and commissioning","Sublease approved; operation not evidenced","MEDIUM","2026-08-16","[""src-adaniconnex-noida""]",,,"MEDIUM","2026-08-16","SINGLE_SOURCE","[""gbn"",""noida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,"[""Adani Enterprises"",""EdgeConneX""]"
"co-noida-data-centre-sector62","Noida Data Centre Sector 62 project","Noida Data Centre Ltd","AdaniConneX project relationship requires direct corporate confirmation","Sector 62 data-centre project","Data-centre infrastructure","Noida Sector 62","62","construction","No site-specific public capex in cited source","Not disclosed","Construction reported","Construction, not operating employment","White/grey technical, facilities and security when operational",,"Construction, power/fibre and commissioning","Construction reported; operation not evidenced","MEDIUM","2026-08-16","[""src-adaniconnex-noida""]",,,"MEDIUM","2026-08-16","SINGLE_SOURCE","[""gbn"",""noida""]","EXPLICIT_LOCATION","HIGH","2026-08-17",,,,,,,,
