"id","title","publisher","url","date","accessed","type","strength","crossVerified","usedFor","notes","publishedAt","publishedDateLabel","accessedAt","sourceClass","usageCount","retentionStatus"
"src-ats-delay-orders","ATS Allure possession and delay-interest orders","SND Legal Associates summary of UP RERA orders","https://www.sndlegalassociates.com/post/up-rera-ats-allure-to-ensure-delivery-of-possession-by-feb-2022-and-payment-of-delay-interest","2022","2026-08-15","Legal case summary","MEDIUM","true","Historic delivery-delay risk","Secondary summary; underlying orders should be preferred for litigation use.",,"2022","2026-08-15","LEGAL","1","REFERENCED"
"src-rera-ace-terra","ACE Terra project summary","UP RERA","https://up-rera.in/Projectsummary?UI0aPA1ISD=ha1rI+Yf8dQ=&NPJ6RAme=RD4WvtmSELODLVTyl8GfiA==&PaURJEMAN4=ZL9MNERkNdYVibfTHi0iwAANqXFIUX8E&IRSAHEB=D6PY3lyims8=","Registry record","2026-08-15","Regulatory project record","HIGH","true","ACE Terra registration and declared completion",,,"Registry record","2026-08-15","REGULATORY","3","REFERENCED"
"src-ace-terra","ACE Terra Sector 22D project page","ACE Group","https://acegroupindia.com/sector-22d-yamuna-expressway.php","Live project page","2026-08-15","Promoter disclosure","HIGH","true","Configuration and location claims","Commercial claims require independent verification.",,"Live project page","2026-08-15","CORPORATE","2","REFERENCED"
"src-rera-sunbliss","Purvanchal Sunbliss project summary","UP RERA","https://up-rera.in/Projectsummary?UI0aPA1ISD=xR+wyQ0QrY4=&NPJ6RAme=Oq4WtnhfFzTXEiqh0qQW8/Vn1+0WJAKd8UDJQSWO763Eud1LcQC2p0iIZorH6SkBpOKqurRu4VQ=&PaURJEMAN4=ZL9MNERkNdZt8EFRNGdqs9nU3sH6FbM7&IRSAHEB=D6PY3lyims8=","Registry record","2026-08-15","Regulatory project record","HIGH","true","Sunbliss registration, promoter and completion",,,"Registry record","2026-08-15","REGULATORY","5","REFERENCED"
"src-listing-sunbliss","Purvanchal Sunbliss listings","99acres","https://www.99acres.com/purvanchal-sunbliss-sector-22d-yamuna-expressway-greater-noida-npxid-r438191","Live listings","2026-08-15","Property portal","MEDIUM","false","Configuration and asking-price range","Asking prices only.",,"Live listings","2026-08-15","MARKET","2","REFERENCED"
"src-eldeco-ballads","Eldeco Ballads of Bliss","Eldeco Group","https://www.eldecogroup.com/residential/eldeco-ballads-of-bliss","Live project page","2026-08-15","Promoter disclosure","HIGH","true","Promoter, launch and configuration","Unit-count and pricing claims require regulatory/portal reconciliation.",,"Live project page","2026-08-15","CORPORATE","1","REFERENCED"
"src-listing-eldeco-ballads","Eldeco Ballads of Bliss listings","99acres","https://www.99acres.com/eldeco-ballads-of-bliss-sector-22d-yamuna-expressway-greater-noida-npxid-r442999","Live listings","2026-08-15","Property portal","MEDIUM","false","Advertised configurations and asking prices","Sources conflict on unit count.",,"Live listings","2026-08-15","MARKET","0","CONTEXT_ONLY"
"src-rera-gaur-chrysalis","Gaur Chrysalis project summary","UP RERA","https://up-rera.in/Projectsummary?UI0aPA1ISD=tu9BOTM+k0Q=&NPJ6RAme=sXeiw9OmOTdj60IwKhGm8p55ZbBxMxAXB3HBwDEUnvM=&PaURJEMAN4=ZL9MNERkNdbgL6vHkcx5i07MLmYeVgpw&IRSAHEB=D6PY3lyims8=","Registry record","2026-08-15","Regulatory project record","HIGH","true","Gaur Chrysalis registration and declared schedule",,,"Registry record","2026-08-15","REGULATORY","4","REFERENCED"
"src-rera-tracker-arihant","Arihant Seasons RERA-derived summary","RERA Tracker","https://reratracker.com/arihant-seasons-in-sector-22d-yamuna-expressway-by-arihant-group-rtid5486","Live summary","2026-08-15","RERA-derived portal","MEDIUM","true","Registration, schedule and infrastructure filing summary","Direct UP RERA certificate remains stronger.",,"Live summary","2026-08-15","REGULATORY","2","REFERENCED"
"src-listing-arihant","Arihant Seasons listings","99acres","https://www.99acres.com/arihant-seasons-sector-22d-yamuna-expressway-greater-noida-npxid-r462535","Live listings","2026-08-15","Property portal","MEDIUM","false","Advertised launch/current pricing","Asking prices only.",,"Live listings","2026-08-15","MARKET","2","REFERENCED"
"src-rera-tracker-vvip","VVIP Yamuna RERA-derived summary","RERA Tracker","https://reratracker.com/vvip-yamuna-in-sector-22d-yamuna-expressway-by-vvip-group-rtid5437","Live summary","2026-08-15","RERA-derived portal","MEDIUM","false","Registration and declared site works","Direct apartment schedule remains required.",,"Live summary","2026-08-15","REGULATORY","3","REFERENCED"
"src-rera-greenbay","Greenbay Golf Homes project record","UP RERA","https://up-rera.in/Frm_View_Project_Details.aspx?id=9693","Registry record","2026-08-15","Regulatory project record","HIGH","true","Greenbay registration and promoter",,,"Registry record","2026-08-15","REGULATORY","1","REFERENCED"
"src-greenbay-dues","Greenbay authority-dues default","MagicBricks News","https://www.magicbricks.com/news/greenbay-infrastructure-defaults-on-rs-101-crore-installment--township-project-in-sector-22d-may-be-cancelled/140767.html","2025","2026-08-15","Established property news","MEDIUM","true","Authority dues and cancellation risk","Current authority demand should be refreshed before transaction.",,"2025","2026-08-15","MARKET","2","REFERENCED"
"src-supertech-cirp","NCLT admits Supertech Township Projects insolvency","Hindustan Times","https://www.hindustantimes.com/cities/noida-news/nclt-begins-insolvency-resolution-process-against-supertech-101721586740411.html","2024-07","2026-08-15","Established media / legal proceeding report","MEDIUM","true","Supertech Golf Country insolvency risk","Current CIRP orders and resolution status require transaction-time refresh.",,"2024-07","2026-08-15","LEGAL","2","REFERENCED"
"src-rera-supertech","Supertech Golf Country phase project record","UP RERA","https://up-rera.in/Frm_View_Project_Details.aspx?id=5863","Registry record","2026-08-15","Regulatory project record","HIGH","true","Golf Country phase status",,,"Registry record","2026-08-15","REGULATORY","2","REFERENCED"
"src-affordable-rera-mirror","YEIDA Affordable Housing RERA record mirror","Aurum PropTech","https://www.aurumproptech.in/pulse/rera/uttar-pradesh/gautam-buddha-nagar/affordable-housing-sector-22d-yeida/upreraprj8647","Registry mirror","2026-08-15","RERA-derived portal","MEDIUM","false","Affordable Housing registration reference","Direct UP RERA record is preferred.",,"Registry mirror","2026-08-15","REGULATORY","0","CONTEXT_ONLY"
"src-affordable-oc-warning","YEIDA Affordable Housing completion-document review","QuietList","https://quietlist.in/noida/affordable-housing-sector-22d-yeida","Live review","2026-08-15","Independent property review","LOW","false","OC/CC evidence-gap warning","Low-strength source; unit-level authority confirmation required.",,"Live review","2026-08-15","MARKET","1","REFERENCED"
"src-yeida-auction-2024","YEIDA allots Sector 22D group-housing plots","Times of India","https://timesofindia.indiatimes.com/city/noida/yeida-allots-2-plots-for-housing-societies-near-noida-airport/articleshow/111765531.cms","2024-07","2026-08-15","Established media reporting official auction","MEDIUM","true","Purvanchal and Eldeco plot area and consideration","Authority auction result should be retained as ultimate source when available.",,"2024-07","2026-08-15","OFFICIAL","7","REFERENCED"
"src-yeida-auction-moneycontrol","YEIDA group-housing auction allotments","Moneycontrol","https://www.moneycontrol.com/news/business/real-estate/realty-firms-eldeco-purvanchal-projects-arihant-buildwell-buy-group-housing-plots-near-noida-airport-12850085.html","2024","2026-08-15","Established business media reporting official auction","MEDIUM","true","Allottee names, parcel sizes and auction consideration","Land allotment does not authorize apartment sale without project RERA.",,"2024","2026-08-15","OFFICIAL","3","REFERENCED"
"src-nia-operations","Noida International Airport commercial operations","Noida International Airport","https://www.niairport.in/en/company/news/2026/2026-06-15","2026-06-15","2026-08-15","Operator announcement","HIGH","true","Airport operational milestone","Local direct headcount was not disclosed.","2026-06-15","2026-06-15","2026-08-15","CORPORATE","11","REFERENCED"
"src-nia-cargo","Noida International Airport cargo","Noida International Airport","https://www.niairport.in/en/company/cargo","Live operator page","2026-08-15","Operator disclosure","HIGH","true","AISATS structure and cargo capacity","Company-wide AISATS employment is not local terminal employment.",,"Live operator page","2026-08-15","CORPORATE","3","REFERENCED"
"src-vivo-start","Vivo begins production near Yamuna Expressway","Times of India","https://timesofindia.indiatimes.com/city/noida/smartphone-maker-starts-production-off-yamuna-expressway/articleshow/110545402.cms","2024","2026-08-15","Established media","MEDIUM","true","Vivo facility operating milestone and reported employment","Reported workforce is not independently filed.",,"2024","2026-08-15","MEDIA","3","REFERENCED"
"src-vivo-dixon","Vivo-Dixon joint venture and plant transfer","Moneycontrol","https://www.moneycontrol.com/technology/vivo-s-dixon-jv-to-anchor-india-localisation-strategy-greater-noida-plant-transfer-iot-manufacturing-planned-article-13972453.html","2026","2026-08-15","Established business media","MEDIUM","true","Ownership/asset transition and double-count prevention","The transaction is not a second factory.",,"2026","2026-08-15","MEDIA","4","REFERENCED"
"src-haier-expansion","Haier expands Greater Noida plant","Haier India","https://www.haier.com/in/about-haier/news/with-a-focus-on-made-in-india-made-for-india-haier-expands-greater-noida-plant.shtml","Company release","2026-08-15","Commercial filing-derived profile","HIGH","true","Existing operations, investment, employment and expansion","Existing and incremental employment are kept separate.",,"Company release","2026-08-15","OTHER","2","REFERENCED"
"src-bhagwati-ramp","Bhagwati Products workforce ramp","Manufacturing Today India","https://www.manufacturingtodayindia.com/bhagwati-products-gears-up-for-next-growth-phase-in-greater-noida","2025","2026-08-15","Trade media","MEDIUM","false","Operating status and reported workforce ramp","Exact facility headcount lacks a public filing.",,"2025","2026-08-15","MEDIA","1","REFERENCED"
"src-samsung-noida","Samsung inaugurates expanded Noida mobile factory","Samsung India","https://news.samsung.com/in/samsung-inaugurates-worlds-largest-mobile-factory-in-india","2018","2026-08-15","Company disclosure","HIGH","true","Factory scale, historic capex and incremental-job announcement","Historic incremental jobs are not current headcount.",,"2018","2026-08-15","CORPORATE","1","REFERENCED"
"src-yeida-14-operational","Fourteen companies begin operations in YEIDA region","Hindustan Times","https://www.hindustantimes.com/cities/noida-news/14-companies-begin-operations-in-yeida-region-in-noida-101740153088836.html","2025-02","2026-08-15","Established media reporting authority data","MEDIUM","false","Avery Dennison, Surya Global, Bikanerwala and Mtandt operational milestones","Facility jobs were not disclosed.",,"2025-02","2026-08-15","OFFICIAL","15","REFERENCED"
"src-avaada-dadri","Avaada Dadri plant inauguration and expansion","Avaada Electro","https://avaadaelectro.com/wp-content/uploads/2025/05/Dadri-Plant-Inauguration.pdf","2025-05","2026-08-15","Company release","HIGH","true","Dadri operations and Ecotech-16 construction","Expansion jobs are not cleanly split by facility.",,"2025-05","2026-08-15","CORPORATE","2","REFERENCED"
"src-ntt-noida2","NTT opens Noida 2 data-centre campus","NTT Global Data Centers","https://services.global.ntt/en-us/newsroom/ntt-expands-india-footprint-with-new-data-center-campus-in-noida","2024-01","2026-08-15","Company release","HIGH","true","Operational date, area and power capacity","Local jobs not disclosed.",,"2024-01","2026-08-15","CORPORATE","1","REFERENCED"
"src-yotta-d1","Yotta launches Greater Noida D1","Yotta Infrastructure","https://yotta.com/press-releases/yotta-launches-north-indias-first-hyperscale-data-center-yotta-d1-in-greater-noida/","2022-10","2026-08-15","Company release","HIGH","true","D1 operational date, racks and power capacity","Campus MoU values are not substituted for converted D1 capex.",,"2022-10","2026-08-15","CORPORATE","2","REFERENCED"
"src-sify-noida","Sify Noida data centre","Sify Technologies","https://www.sifytechnologies.com/data-center/noida-data-center/","Live company page","2026-08-15","Company disclosure","HIGH","false","Operational status and MW capacity","Local employment not disclosed.",,"Live company page","2026-08-15","CORPORATE","1","REFERENCED"
"src-fortis-greater-noida","Fortis expands Greater Noida footprint","IHH Healthcare","https://www.ihhhealthcare.com/newsroom/care-in-action/fortis-healthcare-expands-footprint-with-new-200-bed-hospital-in-greater-noida","2025","2026-08-15","Company disclosure","HIGH","true","Hospital operating arrangement and bed capacity","This is an operating-arrangement conversion, not a new greenfield hospital.",,"2025","2026-08-15","CORPORATE","1","REFERENCED"
"src-india-chip","Foundation stone for India Chip Jewar facility","HCL","https://hcl.com/media_management/honble-prime-minister-of-india-shri-narendra-modi-lays-the-foundation-stone-for-india-chip-pvt-ltd-in-jewar/","2026-02-21","2026-08-15","Company release","HIGH","true","Physical start, ownership, capex, jobs and target","Direct/indirect job split was not published.","2026-02-21","2026-02-21","2026-08-15","CORPORATE","3","REFERENCED"
"src-amber-disclosures","Amber Group regulatory disclosures","Amber Enterprises India Ltd","https://www.ir.ambergroupindia.com/investor-information/announcements/disclosures-under-regulation-30/","2026","2026-08-15","Listed-company disclosure","HIGH","true","YEIDA allotments and combined programme economics","Amber and Ascent figures are combined and not additive.",,"2026","2026-08-15","CORPORATE","3","REFERENCED"
"src-amber-groundbreaking","Amber Group electronics-project groundbreaking","Manufacturing Today India","https://www.manufacturingtodayindia.com/amber-group-breaks-ground-on-%E2%82%B96785-crore-electronics-project","2026-06","2026-08-15","Trade media","MEDIUM","true","Physical groundbreaking","Combined capex must not be counted per facility.",,"2026-06","2026-08-15","MEDIA","2","REFERENCED"
"src-sael-release","SAEL integrated solar facility release","SAEL Industries","https://www.sael.co/newsroom/press-release/sael-to-set-up-rs8200-crore-integrated-solar-facility-in-uttar-pradesh/","2025","2026-08-15","Company release","HIGH","true","Project economics and Letter of Comfort","Company release does not prove substantial construction.",,"2025","2026-08-15","CORPORATE","1","REFERENCED"
"src-sael-allotment","YEIDA allots 200 acres to SAEL solar hub","Hindustan Times","https://www.hindustantimes.com/cities/noida-news/yeida-allots-200-acres-land-to-build-8-200-crore-solar-hub-101763320024281.html","2025","2026-08-15","Established media reporting authority action","MEDIUM","true","Land-allotment milestone","Construction remains unverified.",,"2025","2026-08-15","OFFICIAL","1","REFERENCED"
"src-investup-may2026","YEIDA land-allotment event","Invest UP","https://invest.up.gov.in/yeida-land-allotment/","2026-05-22","2026-08-15","Government release","HIGH","true","CESC, institutional and other allotment-letter milestones","Allotment letter is not lease, possession or construction.","2026-05-22","2026-05-22","2026-08-15","OFFICIAL","19","REFERENCED"
"src-may2026-allotments","UP issues YEIDA allotment letters","Business Standard","https://www.business-standard.com/economy/news/up-govt-signs-5k-cr-allotment-letters-with-companies-for-yeida-development-126052400664_1.html","2026-05","2026-08-15","Established business media","MEDIUM","true","CESC and Integrated Batteries project claims","Projected jobs remain outside committed employment.",,"2026-05","2026-08-15","MEDIA","2","REFERENCED"
"src-premier-medical","YEIDA allots Medical Device Park plot to Premier Medical","Hindustan Times","https://www.hindustantimes.com/cities/noida-news/yeida-allots-3-acres-to-a-medical-device-manufacturing-unit-101756839951917.html","2025-09-03","2026-08-16","Established media reporting authority action","MEDIUM","true","Premier Medical LOI, area, products, capex and jobs; also park/TI construction snapshot","The article reports an LOI, not a final allotment letter, lease deed, possession or construction. Its 23 signed-deed figure is lower than the 36 deeds reported on 2025-03-28; do not merge those snapshots without YEIDA's underlying register.","2025-09-03","2025-09-03","2026-08-16","OFFICIAL","5","REFERENCED"
"src-medical-device-park","Medical Device Park allotments","Invest UP","https://invest.up.gov.in/wp-content/uploads/2023/04/presse-28-04-23-6.pdf","2023-04","2026-08-15","Government-hosted Times of India clipping","MEDIUM","true","Medical Device Park company allotments","Current construction status needs plot-level authority records.",,"2023-04","2026-08-15","OFFICIAL","3","REFERENCED"
"src-toi-mdp-letters","Uttar Pradesh: 26 companies get allotment letters for plots at Medical Device Park","Times of India","https://timesofindia.indiatimes.com/city/noida/26-cos-get-allotment-letters-for-plots-at-medical-device-park/articleshow/99801369.cms","2023-04-27","2026-08-16","Established media covering YEIDA handover","MEDIUM","true","Mixed Phase-1 possession and Phase-2 allotment-letter/checklist event; Heidelco direct quote","The story does not map each named company to possession versus letter/checklist status.","2023-04-27","2023-04-27","2026-08-16","MEDIA","1","REFERENCED"
"src-india-infra-mdp-allottees","UP's First Medical Device Park: 26 Allottees Receive Nod To Establish Their Units","India Infra Hub","https://indiainfrahub.com/featured/ups-first-medical-device-park-26-allottees-receive-nod-to-establish-their-units-at-sector-28-in-yeida-region/","2023-04-27","2026-08-16","Infrastructure media covering YEIDA handover","MEDIUM","false","Auzein/Auxein, Heidelco, Q-Line, Ramsons/Romsons and Genuince/Genuine names, 4,000-sqm areas, products and capex","Published spellings are retained and registry matches are flagged where the source appears to contain a typo.","2023-04-27","2023-04-27","2026-08-16","MEDIA","5","REFERENCED"
"src-toi-mdp-named-allottees","First manufacturing unit ready at Medical Device Park","Times of India","https://timesofindia.indiatimes.com/city/noida/first-manufacturing-unit-ready-at-medical-device-park/articleshow/119612215.cms","2025-03-28","2026-08-16","Established media quoting YEIDA","MEDIUM","false","Named allottee list: Vanguard Diagnostics, Q-line Biotech, Bioradmedisys, Allengers, Epsilon, Romsons, Betamed, Avienbio and DiaSys; 74 plots/36 deeds/one completed/seven started","Names are reported as brands/shorthand; legal-entity matching requires corporate sources.","2025-03-28","2025-03-28","2026-08-16","MEDIA","9","REFERENCED"
"src-toi-ti-medical","Murugappa gets land to set up factory for nebulisers, needles","Times of India","https://timesofindia.indiatimes.com/city/noida/murugappa-group-to-set-up-factory-for-nebulisers-and-needles-in-noida/articleshow/111524548.cms","2024-07-06","2026-08-16","Established media reporting authority allotment","MEDIUM","true","TI Medical allotment date, 11-acre area, shareholding, products and Rs 215-crore proposal","No plot number, premium, deed or possession date is disclosed.","2024-07-06","2024-07-06","2026-08-16","OFFICIAL","2","REFERENCED"
"src-digital-health-krish","Krish Biomedicals Set to Launch Operations at YEIDA Medical Device Park","Digital Health News","https://www.digitalhealthnews.com/krish-biomedicals-set-to-launch-operations-at-yeida-medical-device-park","2025-09","2026-08-16","Healthcare industry news","MEDIUM","true","Krish plot 49, 1,000-sqm area, 2023 allotment, products, capacity and Rs 6-crore capex","The article does not publish the allotment letter, lease deed or legal-entity CIN.",,"2025-09","2026-08-16","MEDIA","1","REFERENCED"
"src-krish-inauguration","First manufacturing unit inaugurated at YEIDA Medical Device Park","Medical Buyer","https://www.medicalbuyer.co.in/first-manufacturing-unit-inaugurated-at-yeida-medical-device-park/","2025-09-22","2026-08-16","Medical-device trade media","MEDIUM","true","Krish Biomedicals inauguration and first-operational-unit status","Corporate landholding identity is not stated.","2025-09-22","2025-09-22","2026-08-16","MEDIA","2","REFERENCED"
"src-krish-company","Krish Biomedicals contact and manufacturing address","Krish Biomedicals","https://www.krishbiomedicals.in/contact-us","Live company page","2026-08-16","Company disclosure","HIGH","true","Plot 49, Sector 28 manufacturing address","The page uses the brand/company-facing name but does not state the leaseholding CIN.",,"Live company page","2026-08-16","CORPORATE","1","REFERENCED"
"src-corp-krish","Krish Biomedicals Private Limited corporate profile","ZaubaCorp","https://www.zaubacorp.com/KRISH-BIOMEDICALS-PRIVATE-LIMITED-U33110DL2014PTC271717","MCA-compatible registry mirror","2026-08-16","Corporate registry mirror","MEDIUM","false","Closest exact company-name/CIN match and strike-off warning","The allotment/lease deed is required to prove this is the legal plot holder; a separate active similarly named company exists.",,"MCA-compatible registry mirror","2026-08-16","OFFICIAL","1","REFERENCED"
"src-avience-rhp","Avience Biomedicals Limited Red Herring Prospectus","Avience Biomedicals Limited","https://avienbio.com/wp-content/uploads/2026/06/RHP.pdf","2026-06-12","2026-08-16","SEBI-regulated issuer disclosure","HIGH","true","Plot 70, area, allotment letter, land cost, lease deed, building-plan approval, project capex, construction and commissioning schedule","Key pages: RHP pp. 96-97 and internal p. 126 (PDF p. 130) for the implementation schedule; October 2026 is a target, not operation evidence.","2026-06-12","2026-06-12","2026-08-16","CORPORATE","1","REFERENCED"
"src-impressive-mdp-review","YEIDA Medical Devices Park review and construction progress","Impressive Times","https://impressivetimes.com/latest/yeida-medical-devices-park-review-construction-progress/","2025-07-12","2026-08-16","Local media covering official review visit","MEDIUM","true","89 plots, 65 checklists, 47 registrations, 10 plans, seven construction sites and Avience Rs 22-crore mention","The Rs 22-crore mention predates the later RHP project-cost disclosure and is not used as final project capex.","2025-07-12","2025-07-12","2026-08-16","OFFICIAL","1","REFERENCED"
"src-qline-facility","Proposed manufacturing plant at Medical Devices Park, YEIDA","Q-Line Biotech Limited","https://qlinebiotech.com/our-facility-proposed-manufacturing-plant-at-medical-devices-park-yeida","Live company page","2026-08-16","Company disclosure","HIGH","true","Proposed approximately 10,000-sqm YEIDA IVD facility and product scope","The company's area description conflicts with the 4,000-sqm 2023 handover report and does not identify a plot number.",,"Live company page","2026-08-16","CORPORATE","1","REFERENCED"
"src-qline-rhp","Q-Line Biotech Limited Red Herring Prospectus","Q-Line Biotech Limited","https://admin.qlinebiotech.com/uploads/investor/4787d1e29d94c4d14f528626ac9c2b2c.pdf","2026-05-16","2026-08-16","SEBI-regulated issuer disclosure","HIGH","true","CIN and YEIDA property investment carrying value through 2025-12-31","The filing does not disclose a YEIDA plot number, lease-deed date or construction milestone.","2026-05-16","2026-05-16","2026-08-16","CORPORATE","1","REFERENCED"
"src-fpj-mdp-progress","YEIDA Emerges As A New Hub Of Medical Device Manufacturing, Land Allotted To 101 Units","Free Press Journal","https://www.freepressjournal.in/india/yeida-emerges-as-a-new-hub-of-medical-device-manufacturing-land-allotted-to-101-units","2026-02-04","2026-08-16","Media reproduction of YEIDA progress report","MEDIUM","false","101 plots, 85 investors submitted lease plans, 62 deeds, 49 possessions, 23 building plans and 12 construction sites","These are plot/unit aggregates, not a named-firm ledger.","2026-02-04","2026-02-04","2026-08-16","MEDIA","1","REFERENCED"
"src-toi-mdp-120","Medical device park to be developed as manufacturing hub","Times of India","https://timesofindia.indiatimes.com/city/noida/medical-device-park-to-be-developed-as-manufacturing-hub/articleshow/132447743.cms","2026-07-17","2026-08-16","Established media quoting YEIDA Additional CEO","MEDIUM","false","Latest public snapshot: 120 industrial plots allotted and over 20 companies started construction","No updated lease, possession, plan or operating-unit counts were supplied.","2026-07-17","2026-07-17","2026-08-16","MEDIA","1","REFERENCED"
"src-corp-ti-medical","TI Medical Private Limited annual report 2024-25","TI Medical Private Limited / Tube Investments of India","https://tiindia.com/wp-content/uploads/2025/07/TI-Medical-20th-AGM-Notice-Annual-Report-2024-25-1.pdf","2025","2026-08-16","Company annual report","HIGH","true","Exact legal entity and corporate operating context","The annual report did not expose plot-level YEIDA dates in searchable text.",,"2025","2026-08-16","CORPORATE","2","REFERENCED"
"src-corp-premier","Premier Medical Systems And Devices Private Ltd corporate profile","The Company Check","https://www.thecompanycheck.com/company/premier-medical-systems-and-devices-private-ltd/U65910DL1987PTC027888","MCA-compatible registry profile","2026-08-16","Corporate registry mirror","MEDIUM","true","Exact legal name and CIN","The HT authority report is the evidence for the YEIDA LOI.",,"MCA-compatible registry profile","2026-08-16","OFFICIAL","2","REFERENCED"
"src-corp-auxein","Auxein Medical Private Limited corporate profile","ZaubaCorp","https://www.zaubacorp.com/company/AUXEIN-MEDICAL-PRIVATE-LIMITED/U33110DL2012PTC241539","MCA-compatible registry mirror","2026-08-16","Corporate registry mirror","MEDIUM","true","Registry match for published 'Auzein Medical' spelling","The allotment instrument is required for conclusive spelling/legal-entity proof.",,"MCA-compatible registry mirror","2026-08-16","OFFICIAL","1","REFERENCED"
"src-corp-heidelco","Heidelco Medicore Private Limited corporate profile","The Company Check","https://www.thecompanycheck.com/company/heidelco-medicore-private-limited/U52100UP2013PTC056558","MCA-compatible registry profile","2026-08-16","Corporate registry mirror","MEDIUM","true","Exact legal name and CIN","YEIDA allotment and product scope are established separately.",,"MCA-compatible registry profile","2026-08-16","OFFICIAL","1","REFERENCED"
"src-corp-genuine","Genuine Medica Private Limited corporate profile","The Company Check","https://www.thecompanycheck.com/company/genuine-medica-private-limited/U74899DL1998PTC092849","MCA-compatible registry profile","2026-08-16","Corporate registry mirror","MEDIUM","true","Probable registry match for published 'Genuince Medica' spelling","The allotment instrument is required for conclusive legal-name proof.",,"MCA-compatible registry profile","2026-08-16","OFFICIAL","1","REFERENCED"
"src-corp-romsons","Romsons Group Private Limited corporate profile","The Company Check","https://www.thecompanycheck.com/company/romsons-group-private-limited/U24236UP1977PTC004511","MCA-compatible registry profile","2026-08-16","Corporate registry mirror","MEDIUM","true","Exact Romsons legal name and CIN","The 2023 'Ramsons Group' spelling/area/capex linkage still requires the deed.",,"MCA-compatible registry profile","2026-08-16","OFFICIAL","1","REFERENCED"
