"id","company","legalEntity","instrument","date","stage","whatTheyDo","scaleEvidence","corridorIntent","proposedLand","proposedCapex","proposedJobs","conditions","currentState","confidence","lastVerified","sourceIds","expiry","convertedTo","lat","lon","confidenceLevel","verifiedAt","crossVerificationStatus","marketIds","marketAssignmentMethod","marketAssignmentConfidence","marketAssignmentReviewedAt","counterparty","brand","aggregate","aggregateReason","parentBrand"
"int-katyayani-logistics","Shri Katyayani Metal Pvt Ltd","Shri Katyayani Metal Pvt Ltd","Reported LOI","2025-07","loi",,,,"26 acres, Sector 8","Rs 1,000 crore",,"No construction evidence found","LOI only","LOW","2026-08-15","[""src-eight-lois""]",,,,,"LOW","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-akasa-mro","Akasa Air","SNV Aviation Pvt Ltd","Strategic partnership","2026-03-13","mou",,,,,,,"No area, capex, build contract, schedule or local jobs disclosed","Strategic agreement, not construction","HIGH","2026-08-15","[""src-akasa-mro""]",,,,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17","Yamuna International Airport Pvt Ltd",,,,
"int-roseate-airport-hotel","Bird Hospitality Services Pvt Ltd","Bird Hospitality Services Pvt Ltd","Selected airport-hotel bidder","2022-11","loi",,,,"Airport-adjacent hotel site",,,"No reliable August 2026 construction/opening milestone","Stale selected-bidder announcement","HIGH","2026-08-15","[""src-roseate-selection""]",,,,,"HIGH","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,"Roseate Hotels",,,
"int-tarq-semiconductors","Tarq Semiconductors","Hiranandani-linked proposal","State approval / conditional land support",,"loi",,,,"125 acres, Sector 28","Rs 28,440 crore claimed","11,000 direct and indirect claimed","Central semiconductor approval and construction absent","Conditional/stale; not cancelled but not committed","LOW","2026-08-15","[""src-investup-may2026""]",,,,,"LOW","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-japanese-city","Unnamed Japanese investors","Unnamed investor-outreach aggregate","Planning and JETRO discussions",,"interest",,,,"About 395 hectares, Sector 5A",,,"No named corporate allottee or binding investment","Investor-outreach concept","MEDIUM","2026-08-15","[""src-investup-may2026""]",,,,,"MEDIUM","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,"true","No named corporate allottee or binding investment was verified",
"int-korean-city","Unnamed Korean investors","Unnamed investor-outreach aggregate","Planning and KOTRA/delegation interest",,"interest",,,,"About 365 hectares, Sector 4A",,,"Site visit/interest is not an EOI, MoU or commitment","Investor-outreach concept","MEDIUM","2026-08-15","[""src-investup-may2026""]",,,,,"MEDIUM","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,"true","No named corporate allottee or binding investment was verified",
"int-data-centre-park-failed","Unnamed data-centre EOIs","Unnamed EOI respondent aggregate","EOI / failed scheme",,"failed",,,,"Original 100-acre YEIDA data-centre park",,,"Only two EOIs where minimum competition was required","Scheme failed and was divided into smaller plots","MEDIUM","2026-08-15","[""src-data-centre-park-failed""]",,,,,"MEDIUM","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,"true","Original scheme received insufficient public EOI participation and no converted anchor allotment",
"int-filmcity-failed-rounds","Film City tender rounds 1 and 2","Tender-round history, not a company","Failed tenders","2021-2023","failed",,,,"YEIDA Sector 21",,,"First round lacked sufficient valid participation; second had no valid bid","Historical failures retained as execution evidence","MEDIUM","2026-08-15","[""src-filmcity-failed-tenders""]",,"Superseded by 2024 Bayview/Bhutani concession",,,"MEDIUM","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,"true","Records failed procurement rounds rather than a legal entity",
"int-cancelled-16-plots","Sixteen related industrial/toy allottees","Sixteen unresolved allottees aggregate","Cancelled allotments","2025-04/05","failed",,,,"Sectors 29 and 33",,,"Related-family entities breached one-firm/one-plot rules","Removed from active pipeline","MEDIUM","2026-08-15","[""src-cancelled-16""]",,,,,"MEDIUM","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,"true","Public reporting did not resolve the individual legal entities",
"int-cancelled-39-plots","Thirty-nine YEIDA industrial allottees","Names not publicly resolved","Cancelled allotments","2025-12","failed",,,,,,,"Failed to execute lease deeds after notices","Cancelled; evidence that allotment is not conversion","MEDIUM","2026-08-15","[""src-cancelled-39""]",,,,,"MEDIUM","2026-08-15","SINGLE_SOURCE","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-am-group-ai-hub","AMG AI Labs","Exact project SPV requires confirmation","Invest UP MoU and YEIDA LoIs","2026-02","loi",,,,"114 acres Sector 28 plus 175 acres Sector 8D","Rs 2.2 lakh crore claimed","Thousands of high-skilled jobs; no direct/indirect split","Lease, possession, power commitment, finance and construction not verified","AI/HPC proposal only; 2028/2030 targets are promoter plans","HIGH on LoI / MEDIUM claims","2026-08-16","[""src-am-ai-hub-ht"",""src-am-ai-hub-et""]",,,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,"AM Group"
"int-dixon-emc","Dixon Technologies (India) Limited","Dixon Technologies (India) Limited","Provisional LoI conditional on state approval","2025-06-20","loi","Listed electronics-manufacturing-services company producing mobiles, consumer electronics, telecom equipment, lighting and appliances for brands.","NSE/BSE listed; official FY26 highlight is approximately Rs 48,873 crore consolidated revenue.","Establish electronics manufacturing in EMC 2.0 across Dixon's existing product categories.","22.54 acres, Sector 10 EMC","Entity-specific capex not disclosed","Entity-specific jobs not disclosed; 15,000 belongs to the whole EMC","Final allotment requires Invest UP Empowered Committee clearance and policy compliance","LoI; no later lease, possession or construction evidence","HIGH","2026-08-16","[""src-dixon-loi"",""src-dixon-financials""]",,,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-aurionpro-toshi","Aurionpro Toshi Automatic Systems Private Limited","Aurionpro Toshi Automatic Systems Private Limited","YEIDA LoI","2025-07","loi","Makes entrance automation, loading-bay equipment, automatic-fare-collection gates/validators and industrial automation.","Unlisted, majority-owned by listed Aurionpro Solutions; official profile claims a 30,000-sq-ft plant and 10,000+ customers. Exact revenue and staff were removed.","Manufacture smart-transit and industrial-automation products inside EMC 2.0.","5 acres, Sector 10 EMC","Not reliably disclosed","Not reliably disclosed","No public lease deed, building approval or construction conversion","LoI only","MEDIUM-HIGH","2026-08-16","[""src-emc-development"",""src-aurionpro-toshi-profile""]",,,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-neenjas-electric","Neenjas Electric Private Limited","Neenjas Electric Private Limited","YEIDA LoI","2025-12-27","loi","Produces EV/on-board chargers, AC-DC power electronics, solar power banks and related electronics.","Unlisted power-electronics manufacturer; Tofler's public profile shows FY25 revenue in the Rs 25-50 crore range.","Localise chargers and storage products for two-wheelers, three-wheelers and light commercial vehicles.","20,000 sqm, Sector 8D","Rs 169 crore","Not disclosed","Final allotment, approvals, financing and execution remain","LoI only","MEDIUM-HIGH","2026-08-16","[""src-neenjas-loi"",""src-neenjas-profile""]",,,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-arsenal-infosolutions","Arsenal Infosolutions Private Limited","Arsenal Infosolutions Private Limited","Industrial allotment letter","2026-05-24","allotted","IT systems integrator for cloud, enterprise networking, collaboration, workplace automation and cybersecurity.","Unlisted; Tofler's public profile shows FY24 revenue in the Rs 100-500 crore range. Current employee count is not verified.","Build an IT/ITES delivery facility; 40% local hiring was proposed.","Plot/sector not publicly disclosed","Rs 71.19 crore","1,140 jobs claimed; direct/indirect split unavailable","No lease, possession or construction evidence found","Allotment-letter stage","HIGH project / MEDIUM scale","2026-08-16","[""src-fortune-yeida-investments"",""src-arsenal-profile"",""src-arsenal-activity""]",,,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-virtual-employee","Virtual Employee Private Limited","Virtual Employee Private Limited","Industrial allotment letter","2026-05-24","allotted","Provides dedicated offshore personnel in software, AI/data, digital marketing, legal, finance and other functions.","Unlisted remote-staffing firm; company claims 4,500+ clients across 48 countries and a Noida building with capacity for 4,000, not actual employment.","Expand IT/ITES and remote-delivery capacity in the corridor.","Plot/sector not publicly disclosed","Rs 48 crore","600 jobs claimed; direct/indirect split unavailable","No later lease, possession or construction evidence; registry history needs reconciliation","Allotment-letter stage","MEDIUM-HIGH","2026-08-16","[""src-fortune-yeida-investments"",""src-virtual-employee-profile""]",,,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-amadeus-india","Amadeus India Private Limited","Amadeus India Private Limited","Industrial allotment letter","2026-05-24","allotted","Travel-distribution technology for airline, hotel, car inventory, reservations and travel-agency automation.","Unlisted; Tofler's public profile shows FY23 revenue in the Rs 100-500 crore range. Bird publication supports the Bird/Amadeus India relationship.","Create an IT project, but the published allotment does not disclose whether it is distribution operations, software delivery or another facility.","Plot/sector not publicly disclosed","Rs 160 crore","275 jobs claimed; direct/indirect split unavailable","Facility scope, lease and construction remain undisclosed","Allotment-letter stage","MEDIUM-HIGH","2026-08-16","[""src-fortune-yeida-investments"",""src-amadeus-india-profile"",""src-amadeus-bird""]",,,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-quarks-technosoft","Quarks Technosoft Private Limited","Quarks Technosoft Private Limited","Industrial allotment letter","2026-05-24","allotted","Product engineering, cloud/DevOps, quality engineering, Salesforce, data/AI and cybersecurity services.","Unlisted; Tofler's public profile shows FY22 revenue in the Rs 1-100 crore range. Official site claims 225+ clients; current employee count is not verified.","Build a data-processing centre and materially expand delivery headcount.","Plot/sector not publicly disclosed","Rs 47.47 crore","About 1,800 jobs claimed; more than six times reported current headcount","No lease/building conversion; phased hiring evidence required","Allotment-letter stage","MEDIUM-HIGH","2026-08-16","[""src-fortune-yeida-investments"",""src-quarks-profile"",""src-quarks-scale""]",,,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-sainath-sales","Sainath Sales and Services Private Limited","Sainath Sales and Services Private Limited","Industrial allotment letter","2026-05-22","allotted","The allotted project is described as electronic-products manufacturing; reliable current manufacturing capacity was not found.","Active private company; dependable public revenue, employee and operating-plant evidence was not located.","Build an electronics-manufacturing unit in the YEIDA industrial corridor.","Plot, sector and area not publicly disclosed","Rs 37.19 crore","300 jobs claimed; direct/indirect split unavailable","No lease deed, possession, sanctioned plan or construction evidence found","Allotment-letter stage","HIGH project / LOW scale and conversion","2026-08-16","[""src-investup-may2026"",""src-may2026-prokerala""]",,,,,"LOW","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-summercool-home-appliances","Summercool Home Appliances Limited","Summercool Home Appliances Limited","Industrial allotment letter","2026-05-22","allotted","Manufactures air coolers and related electrical/electronic home appliances.","Established Ghaziabad-area unlisted appliance manufacturer; current revenue, workforce and capacity were not independently verified for this report.","Add consumer-appliance manufacturing near NCR logistics and the airport corridor.","Plot, sector and area not publicly disclosed","Rs 46.13 crore","532 jobs claimed; direct/indirect split unavailable","No lease deed, possession, sanctioned plan or construction evidence found","Allotment-letter stage","HIGH project / MEDIUM activity / LOW conversion","2026-08-16","[""src-investup-may2026"",""src-may2026-prokerala""]",,,,,"LOW","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-angility-elektrotekniks","Angility Elektrotekniks Private Limited","Angility Elektrotekniks Private Limited","Industrial allotment letter","2026-05-22","allotted","The allotted project is described as control-panel and electrical/electronic-relay manufacturing.","Small private electrical-engineering manufacturer; dependable public revenue, capacity and employee figures were not found.","Supply control systems and electrical components to the developing industrial base.","Plot, sector and area not publicly disclosed","Rs 35 crore","100 jobs claimed; direct/indirect split unavailable","No lease deed, possession, sanctioned plan or construction evidence found","Allotment-letter stage","HIGH project / LOW scale and conversion","2026-08-16","[""src-investup-may2026"",""src-may2026-prokerala""]",,,,,"LOW","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-sahu-attire","Sahu International Attire Private Limited","Sahu International Attire Private Limited","Industrial allotment letter","2026-05-24","allotted","Ready-made garments and clothing accessories.","Young unlisted company incorporated in 2024; revenue and existing factory scale are unavailable.","Create a labour-intensive garment-manufacturing unit with 70% proposed local hiring.","Plot/sector not publicly disclosed","Rs 70 crore","1,992 jobs claimed; direct/indirect split unavailable","No lease/construction evidence; large workforce plan requires financing and factory proof","Allotment-letter stage","MEDIUM","2026-08-16","[""src-fortune-yeida-investments"",""src-sahu-attire-profile""]",,,,,"MEDIUM","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-wipro-ge-mdp","Wipro GE Healthcare Pvt Ltd","Wipro GE Healthcare Pvt Ltd","CEO outreach and site discussions","2025-2026","interest",,,,"About 10 acres sought",,,"No board approval, allotment, lease or construction verified","Potential anchor outreach only","HIGH on non-conversion","2026-08-16","[""src-park-anchor-outreach"",""src-premier-medical""]",,,,,"HIGH","2026-08-16","MULTI_SOURCE_UNASSESSED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-innova-food-park","Innova Food Park proposal","Exact legal entity requires confirmation","Proposed Patanjali sublease","2025-11","interest",,,,"50 acres within Patanjali land",,,"Patanjali consent, sublease and investment were not completed","Cabinet-backed proposal, not a completed land transaction","MEDIUM","2026-08-16","[""src-patanjali-innova""]",,,,,"MEDIUM","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
"int-esic-medical-college","Employees' State Insurance Corporation","Employees' State Insurance Corporation","YEIDA decision / proposed free land","2025-03","planning",,,,"100 acres, Sector 11",,,"Final transfer, DPR, funding and construction not verified","Authority decision, not final allotment or operating institution","HIGH on decision","2026-08-16","[""src-esic-medical-college""]",,,,,"HIGH","2026-08-16","SINGLE_SOURCE","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,
