"id","plot","sector","use","allottee","legalEntity","parentBrand","area","stage","currentState","eventHistory","sourceStrength","confidence","crossVerified","lastVerified","sourceIds","allotmentDate","leaseDate","possessionDate","lat","lon","confidenceLevel","verifiedAt","crossVerificationStatus","marketIds","marketAssignmentMethod","marketAssignmentConfidence","marketAssignmentReviewedAt","mdpLedger","schemeInstrument","allotmentLetter","premiumConsideration","leaseDeed","possession","buildingPlanApproval","construction","commissioningOperation","productMade","capexClaim","jobsClaim","recordType","aggregate","aggregateReason"
"plot-mdp-ti-medical","Plot number not publicly disclosed","28","Dialysis, anaesthesia and critical-care devices","TI Medical Private Limited","TI Medical Private Limited (CIN U33110TN2005PTC186177; formerly Lotus Surgicals Private Limited)","Tube Investments of India Limited / Murugappa Group (67%) and Premji Invest (33%)","11 acres","construction","Under construction; largest disclosed park allotment; commissioning not verified","[""Allotment reported 2024-07"",""Construction underway by 2025-09""]","MEDIUM-HIGH","HIGH allotment/area/construction; MEDIUM corporate details","false","2026-08-16","[""src-toi-ti-medical"",""src-premier-medical"",""src-medical-park-progress"",""src-corp-ti-medical""]",,,,,,"MEDIUM","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17","true","Super-mega investment category allotment; land allotment reported 2024-07-05/06","Not publicly located","Not publicly located","Not publicly located","Possession letter/date not evidenced; construction must not be treated as statutory possession proof","Not individually disclosed","Construction publicly confirmed by 2025-09","No commissioning or operation publicly verified by 2026-08-16","Fluid analysers, nebuliser kits, blood tubing, AV fistulas, dialysis machines/dialysers, anaesthesia kits, needles and masks","Rs 215 crore proposed (some later reports round to Rs 211 crore)","No TI Medical-specific direct/indirect employment number located",,,
"plot-mdp-premier-medical","Plot number not publicly disclosed","28","Critical care, radiology and oncology devices","Premier Medical Systems & Devices","Premier Medical Systems And Devices Private Ltd (CIN U65910DL1987PTC027888)","Medisys; independent","12,000 sqm (about 3 acres)","loi","LOI-stage project; no public lease, possession, building-plan or construction milestone","[""LOI reported 2025-09-03""]","MEDIUM","HIGH LOI/area/capex; LOW downstream conversion","true","2026-08-16","[""src-premier-medical"",""src-corp-premier""]",,,,,,"LOW","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17","true","Letter of Intent issued by YEIDA","LOI reported on 2025-09-03; final allotment letter not public","Not publicly located","Not publicly verified","Not publicly verified","Not publicly verified","Not publicly verified","Not commissioned at last public verification","Existing/new portfolio: ICU ventilators, anaesthesia workstations, syringe and infusion pumps, X-ray, CT, MRI, biopsy and oncology infusion systems","Rs 60 crore proposed","About 450 projected jobs; source does not split direct versus indirect, so treat as an undifferentiated forecast",,,
"plot-mdp-auxein-medical","Plot number not publicly disclosed","28","Orthopaedic implants","Auzein Medical Pvt Ltd (spelling in allottee-event coverage)","Auxein Medical Private Limited (CIN U33110DL2012PTC241539) is the probable registry match","Auxein; independent","4,000 sqm","allotted","Named allottee; plot number and post-allotment conversion unresolved","[""Named among 4,000-sqm allottees in 2023 handover coverage""]","MEDIUM","HIGH published allottee/area/capex; MEDIUM legal-name reconciliation","false","2026-08-16","[""src-medical-device-park"",""src-india-infra-mdp-allottees"",""src-corp-auxein""]",,,,,,"MEDIUM","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17","true","Phase 1/2 Medical Device Park allotment, named at the April 2023 handover event","Individual letter/date not public","Not publicly located","Not individually verified","Not individually verified; the event mixed Phase-1 possession with Phase-2 letters/checklists","Not publicly verified","Not publicly verified","Not publicly verified","Orthopaedic implants","Rs 18.15 crore proposed","No company-specific jobs number published; the April 2023 Rs 415 crore/5,000 jobs claim covered 26 companies",,,
"plot-mdp-heidelco-medicore","Plot number not publicly disclosed","28","Critical-care, defibrillator and oxygen-concentrator equipment","Heidelco Medicore Pvt. Ltd.","Heidelco Medicore Private Limited (CIN U52100UP2013PTC056558)","Heidelco; promoter-linked with Q-Line Biotech","4,000 sqm","allotted","Named allottee; no plot-level construction or commissioning evidence located","[""Named at April 2023 handover"",""Company stated one-year build intention after possession""]","HIGH/MEDIUM","HIGH allottee identity; LOW current physical status","true","2026-08-16","[""src-medical-device-park"",""src-india-infra-mdp-allottees"",""src-toi-mdp-letters"",""src-corp-heidelco""]",,,,,,"LOW","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17","true","Phase 1/2 Medical Device Park allotment; company representative attended the April 2023 handover","Individual letter/date not public","Not publicly located","Not individually verified","Not individually evidenced; the representative's statement was conditional on future possession","Not publicly verified","Not publicly verified","A one-year post-possession target was stated in 2023; no operation evidence located","Automated external defibrillators, oxygen concentrators and other ICU/critical-care equipment","Rs 24 crore proposed","No company-specific direct/indirect jobs number published",,,
"plot-mdp-qline-biotech","Plot number not publicly disclosed","28","In-vitro diagnostics, analysers, reagents and consumables","Q-line Biotech","Q-Line Biotech Limited (CIN U74120UP2010PLC042528)","Independent promoter group; historical POCT Services name","Conflicting public descriptions: 4,000 sqm in April 2023 allottee-event coverage; company later described an approximately 10,000-sqm proposed YEIDA facility","allotted","Allotment supported, but area and execution status conflict across public sources","[""Named in April 2023 coverage"",""Rs 1,794.90 lakh YEIDA property investment at 2025-03-31"",""Company still described facility as proposed""]","HIGH/MEDIUM","HIGH legal entity/allottee; MEDIUM area; LOW construction","true","2026-08-16","[""src-india-infra-mdp-allottees"",""src-toi-mdp-named-allottees"",""src-qline-facility"",""src-qline-rhp""]",,,,,,"LOW","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17","true","Medical Device Park allotment confirmed by YEIDA-attributed TOI reporting","Not publicly located","Company RHP records Rs 1,667.34 lakh investment in YEIDA property at 2025-12-31 (Rs 1,794.90 lakh at 2025-03-31); exact premium/fees split not disclosed","Not publicly located","Not publicly dated","Not publicly verified","Company website describes the facility as proposed/in process; construction not independently verified","Not operational at last public verification","IVD diagnostic analysers, reagents and consumables","YEIDA property carrying value disclosed; total facility capex not separately disclosed","No YEIDA project-specific direct/indirect jobs number published",,,
"plot-mdp-romsons","Plot number not publicly disclosed","28","Anaesthesia needles, kits and disposable medical devices","Romsons (TOI), reported as 'Ramsons Group' in April 2023 coverage","Romsons Group Private Limited (CIN U24236UP1977PTC004511) is the supported match; spelling in the 2023 source is inconsistent","Romsons Group","4,000 sqm if the April 2023 'Ramsons Group' row is the same allottee; deed-level reconciliation unavailable","allotted","Named allottee; historical spelling and area/capex linkage require the actual allotment instrument","[""Named as Romsons by TOI 2025"",""Probable match to 4,000-sqm 'Ramsons Group' row in 2023 coverage""]","MEDIUM","HIGH Romsons allottee; MEDIUM linkage to 2023 Ramsons row","true","2026-08-16","[""src-toi-mdp-named-allottees"",""src-india-infra-mdp-allottees"",""src-corp-romsons""]",,,,,,"MEDIUM","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17","true","Medical Device Park allotment confirmed by YEIDA-attributed TOI reporting","Not publicly located","Not publicly located","Not publicly verified","Not publicly verified","Not publicly verified","Not publicly verified","Not publicly verified","Anaesthesia needles/kits and disposable medical devices","Rs 15 crore proposed if the April 2023 'Ramsons' entry is the same entity","No project-specific direct/indirect jobs number published",,,
"plot-mdp-genuine-medica","Plot number not publicly disclosed","28","Anaesthesia workstations and ventilatory equipment","Genuince Medica Pvt Ltd (spelling in 2023 coverage)","Genuine Medica Private Limited (CIN U74899DL1998PTC092849) is the probable registry match","Genuine Medica; independent","4,000 sqm","allotted","Named allottee; legal spelling matched probabilistically, downstream milestones unresolved","[""Named among 4,000-sqm allottees in 2023 handover coverage""]","MEDIUM","HIGH published allottee/area/capex; MEDIUM legal-name reconciliation","false","2026-08-16","[""src-india-infra-mdp-allottees"",""src-corp-genuine""]",,,,,,"MEDIUM","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17","true","Phase 1/2 Medical Device Park allotment, named at the April 2023 handover event","Individual letter/date not public","Not publicly located","Not individually verified","Not individually verified","Not publicly verified","Not publicly verified","Not publicly verified","Anaesthesia workstations","Rs 18.5 crore proposed","No company-specific direct/indirect jobs number published",,,
"plot-mdp-vanguard-diagnostics","Plot number not publicly disclosed","28","In-vitro diagnostic products","Vanguard Diagnostics","Probable registry match to the TOI shorthand: Vanguard Diagnostics Private Limited (CIN U33110DL2015PTC276193); leaseholding entity unverified","Independent","Not publicly located","allotted","Named allottee only; parcel and conversion milestones unresolved","[""Named allottee 2025-03-28""]","MEDIUM","HIGH named allottee/legal entity; LOW parcel/status","false","2026-08-16","[""src-toi-mdp-named-allottees"",""src-corp-vanguard""]",,,,,,"LOW","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17","true","Named by TOI as an allotted medical-device manufacturer on 2025-03-28","Not publicly located","Not publicly located","Not individually verified","Not individually verified","Not publicly verified","Not publicly verified","Not publicly verified","Clinical and in-vitro diagnostic products","Not publicly located","No project-specific direct/indirect jobs number published",,,
"plot-mdp-biorad-medisys","Plot number not publicly disclosed","28","Orthopaedic, neurovascular and endovascular devices","Bioradmedisys","Probable registry match to the TOI shorthand: Biorad Medisys Private Limited (CIN U33111MH2000PTC265335); leaseholding entity unverified","Biorad Medisys / Indovasive; no larger operating parent identified","Not publicly located","allotted","Named allottee only; no public plot or execution record located","[""Named allottee 2025-03-28""]","MEDIUM","HIGH named allottee/legal entity; LOW parcel/status","false","2026-08-16","[""src-toi-mdp-named-allottees"",""src-corp-biorad""]",,,,,,"LOW","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17","true","Named by TOI as an allotted medical-device manufacturer on 2025-03-28","Not publicly located","Not publicly located","Not individually verified","Not individually verified","Not publicly verified","Not publicly verified","Not publicly verified","Orthopaedic, neurovascular and endovascular devices","Not publicly located for YEIDA","No YEIDA project-specific direct/indirect jobs number published",,,
"plot-mdp-allengers","Plot number not publicly disclosed","28","Radiology and imaging equipment","Allengers","Probable registry match to the TOI shorthand: Allengers Medical Systems Limited (CIN U33111DL1992PLC154688); leaseholding entity unverified","Allengers Group","Not publicly located","allotted","Named allottee only; parcel and downstream milestones unresolved","[""Named allottee 2025-03-28""]","MEDIUM","HIGH named allottee/legal entity; LOW parcel/status","false","2026-08-16","[""src-toi-mdp-named-allottees"",""src-corp-allengers""]",,,,,,"LOW","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17","true","Named by TOI as an allotted medical-device manufacturer on 2025-03-28","Not publicly located","Not publicly located","Not individually verified","Not individually verified","Not publicly verified","Not publicly verified","Not publicly verified","X-ray, digital radiography, C-arms, cath labs and related imaging systems","Not publicly located for YEIDA","No YEIDA project-specific direct/indirect jobs number published",,,
"plot-mdp-betamed","Plot number not publicly disclosed","28","Medical devices; product category not disclosed in the allottee report","Betamed","Unresolved; no defensible Indian legal-entity/CIN match was found for the shorthand used by TOI","Unresolved","Not publicly located","allotted","Named allottee, but the exact non-person legal entity remains unresolved","[""Named allottee 2025-03-28""]","MEDIUM","HIGH named shorthand / LOW legal identity and parcel","false","2026-08-16","[""src-toi-mdp-named-allottees""]",,,,,,"LOW","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17","true","Named by TOI as an allotted medical-device manufacturer on 2025-03-28","Not publicly located","Not publicly located","Not individually verified","Not individually verified","Not publicly verified","Not publicly verified","Not publicly verified","Unresolved","Not publicly located","No project-specific direct/indirect jobs number published",,,
"plot-mdp-avience-biomedicals","70","28","IVD and molecular-diagnostics manufacturing","Avienbio","Avience Biomedicals Limited (CIN U74999DL2019PLC359158; formerly Avience Biomedicals Private Limited)","Avienbio; independent promoter-led company","2,100 sqm","construction","Construction/funding stage as of the 2026-06-12 RHP; June 2026 civil completion and October 2026 operation were targets, not later verification","[""Allotment letter 2023-04-17"",""Lease deed 2023-12-28"",""Building plan approved 2024-07-24"",""Foundation stone laid FY2024-25"",""RHP operation target 2026-10""]","HIGH","HIGH","true","2026-08-16","[""src-toi-mdp-named-allottees"",""src-impressive-mdp-review"",""src-avience-rhp""]",,,,,,"HIGH","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17","true","YEIDA industrial land allotment for Medical Device Park","Allotment letter dated 2023-04-17","Rs 191.00 lakh total land cost including registration and miscellaneous charges; paid from internal accruals/SIDBI borrowing","90-year lease deed dated 2023-12-28; the land is encumbered by a first-charge mortgage in favour of SIDBI","No separate physical-possession letter/date disclosed; lease/title evidence is not possession evidence","Approved by YEIDA on 2024-07-24","Foundation stone laid in FY2024-25; RHP implementation schedule targeted civil completion June 2026","RHP target: machinery delivery/installation and operations in October 2026; not operational as of the 2026-06-12 RHP","Molecular diagnostic kits, biochemistry and haematology analysers, IVD reagents and related products","Rs 3,018.46 lakh project cost excluding working capital: land Rs 191.00 lakh, building/civil Rs 1,195.81 lakh, plant/machinery Rs 1,631.66 lakh","No YEIDA project-specific direct/indirect jobs forecast in the RHP; existing company headcount must not be treated as new park jobs",,,
"plot-mdp-diasys","Plot number not publicly disclosed","28","Clinical chemistry and in-vitro diagnostics","DiaSys","Probable Indian-subsidiary match to the TOI shorthand: DiaSys Diagnostics India Private Limited (CIN U74999MH2013PTC248371); leaseholding entity unverified","DiaSys Diagnostic Systems GmbH, Germany","Not publicly located","allotted","Named allottee; Indian-subsidiary match is strong, but the land instrument and parcel are unavailable","[""Named allottee 2025-03-28""]","MEDIUM","HIGH named allottee / MEDIUM exact Indian entity / LOW parcel","false","2026-08-16","[""src-toi-mdp-named-allottees"",""src-corp-diasys""]",,,,,,"LOW","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17","true","Named by TOI as an allotted medical-device manufacturer on 2025-03-28","Not publicly located","Not publicly located","Not individually verified","Not individually verified","Not publicly verified","Not publicly verified","Not publicly verified","Clinical chemistry, urinalysis, haematology and other IVD systems/reagents","Not publicly located for YEIDA","No YEIDA project-specific direct/indirect jobs number published",,,
"plot-mdp-epsilon","Plot number not publicly disclosed","28","Medical devices; category not disclosed","Epsilon","Unresolved; the abbreviated allottee name cannot be tied safely to one Indian company/LLP","Unresolved","Not publicly located","allotted","Named allottee, but exact legal entity, product and parcel remain unresolved","[""Named allottee 2025-03-28""]","MEDIUM","HIGH named shorthand / LOW all other fields","false","2026-08-16","[""src-toi-mdp-named-allottees""]",,,,,,"LOW","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17","true","Named by TOI as an allotted medical-device manufacturer on 2025-03-28","Not publicly located","Not publicly located","Not individually verified","Not individually verified","Not publicly verified","Not publicly verified","Not publicly verified","Unresolved","Not publicly located","No project-specific direct/indirect jobs number published",,,
"plot-mdp-unresolved-remainder","118 of 120 exact plot numbers unresolved","28","Medical-device manufacturing; mixed product categories","Unresolved allotment remainder; natural-person identities intentionally excluded","Unique legal-entity remainder is not computable from published aggregates",,"Latest public snapshot: 120 industrial plots allotted by 2026-07-17","authority_only","Only plot numbers 49 and 70 are publicly tied here to named entities, so 118 of the latest 120 allotted plot numbers remain unresolved. The unique legal-entity remainder cannot be calculated because no current company count or plot-to-company multiplicity ledger is public. The named set contains 14 reported allottees plus one LOI recipient (Premier).","[""2025-03-28: 74 plots, 36 lease deeds, one completed unit and seven construction starts"",""2025-07-12: 89 plots, 65 checklists, 47 registrations, 10 plans and seven construction starts"",""2025-09-03: 89 plots, 23 firms reported with lease deeds, 10 plans and seven construction starts; lower deed count conflicts with March wording"",""2025-09-22: first operating unit inaugurated"",""2026-02-04: 101 plots, 85 investors submitted lease plans, 62 deeds, 49 possessions, 23 plans and 12 construction starts"",""2026-07-17: 120 plots and over 20 companies under construction""]","MEDIUM","HIGH aggregate counts / LOW entity completeness","true","2026-08-16","[""src-fpj-mdp-progress"",""src-toi-mdp-120"",""src-krish-inauguration""]",,,,,,"LOW","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17","true","Multiple Medical Device Park schemes/draws and direct/super-mega allotments",,,,,,,,"Aggregate 2025 mix included cancer care, radiology, anaesthesia, implants and IVD","No defensible unresolved-remainder total","No defensible unresolved-remainder direct/indirect employment total","Aggregate ledger gap; not an individual allottee",,
"plot-cesc-green-power-may2026","Plot number not publicly disclosed","8D","3-GW solar-cell and module manufacturing","CESC Green Power Limited","CESC Green Power Limited","RP-Sanjiv Goenka Group / CESC","100 acres","allotted","Allotment letter issued 22 May 2026; lease deed, possession and construction not publicly verified","[""Allotment-letter distribution 2026-05-22""]","HIGH","HIGH event / LOW parcel and conversion","true","2026-08-16","[""src-investup-may2026"",""src-may2026-ht"",""src-fortune-yeida-investments""]",,,,,,"LOW","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,"Rs 3,805 crore","About 5,000 projected jobs; direct/indirect split unavailable",,,
"plot-integrated-batteries-may2026","Plot number and sector not publicly disclosed",,"4-GW solar-PV cell manufacturing","Integrated Batteries India Private Limited","Integrated Batteries India Private Limited","IB Solar","25 acres","allotted","Allotment letter issued 22 May 2026; lease deed, possession and construction not publicly verified","[""Allotment-letter distribution 2026-05-22""]","HIGH","HIGH event and area / LOW parcel and conversion","true","2026-08-16","[""src-investup-may2026"",""src-may2026-ht"",""src-fortune-yeida-investments""]",,,,,,"LOW","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,"Rs 1,146 crore","500 projected jobs; direct/indirect split unavailable",,,
"plot-arsenal-infosolutions-may2026","Plot number and area not publicly disclosed","16A","IT/ITES systems-integration facility","Arsenal Infosolutions Private Limited","Arsenal Infosolutions Private Limited",,,"allotted","Allotment letter issued in the May 2026 event; lease deed, possession and construction not publicly verified","[""Allotment-letter distribution 2026-05-22""]","HIGH/MEDIUM","HIGH project and sector / LOW parcel and conversion","true","2026-08-16","[""src-investup-may2026"",""src-may2026-toi"",""src-fortune-yeida-investments"",""src-arsenal-profile""]",,,,,,"LOW","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,"Rs 71.19 crore","1,140 projected jobs; 40% local-hiring claim",,,
"plot-virtual-employee-may2026","Plot number, sector and area not publicly disclosed",,"IT/ITES and offshore-service delivery","Virtual Employee Private Limited","Virtual Employee Private Limited",,,"allotted","Allotment letter issued in the May 2026 event; lease deed, possession and construction not publicly verified","[""Allotment-letter distribution 2026-05-22""]","HIGH/MEDIUM","HIGH event / LOW parcel and conversion","true","2026-08-16","[""src-investup-may2026"",""src-may2026-prokerala"",""src-fortune-yeida-investments"",""src-virtual-employee-profile""]",,,,,,"LOW","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,"Rs 48 crore","600 projected jobs; 70% local-hiring claim",,,
"plot-amadeus-india-may2026","Plot number, sector and area not publicly disclosed",,"Travel-distribution technology / IT project","Amadeus India Private Limited","Amadeus India Private Limited","Bird Group relationship; do not conflate with other Amadeus entities",,"allotted","Allotment letter issued in the May 2026 event; facility scope, lease deed, possession and construction not publicly verified","[""Allotment-letter distribution 2026-05-22""]","HIGH/MEDIUM","HIGH event and legal name / LOW parcel and conversion","true","2026-08-16","[""src-investup-may2026"",""src-may2026-prokerala"",""src-amadeus-india-profile"",""src-amadeus-bird""]",,,,,,"LOW","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,"Rs 160 crore","275 projected jobs; direct/indirect split unavailable",,,
